Date,EG,RGA,RNR,SPNT,KIE
2026-06-11 13:30:00,336.25,206.17999267578125,298.1499938964844,23.690000534057617,58.06999969482422
2026-06-12 13:30:00,339.3999938964844,210.4499969482422,300.8800048828125,23.3799991607666,58.439998626708984
2026-06-15 13:30:00,338.6000061035156,210.38999938964844,297.3800048828125,23.170000076293945,58.380001068115234
2026-06-16 13:30:00,337.739990234375,209.44000244140625,300.6099853515625,23.280000686645508,58.790000915527344
2026-06-17 13:30:00,337.5199890136719,211.8300018310547,303.0199890136719,23.040000915527344,58.290000915527344
2026-06-18 13:30:00,335.6300048828125,210.5399932861328,299.1700134277344,22.760000228881836,58.220001220703125
2026-06-22 13:30:00,339.29998779296875,209.14999389648438,300.92999267578125,22.790000915527344,58.25
2026-06-23 13:30:00,343.55999755859375,211.74000549316406,307.55999755859375,23.639999389648438,59.619998931884766
2026-06-24 13:30:00,345.739990234375,207.7899932861328,310.0799865722656,23.440000534057617,59.720001220703125
2026-06-25 13:30:00,343.0199890136719,208.5,307.1400146484375,23.059999465942383,59.130001068115234
2026-06-26 13:30:00,355.5199890136719,215.27999877929688,319.5899963378906,23.850000381469727,61.04999923706055
2026-06-29 13:30:00,360.7900085449219,214.83999633789062,323.0299987792969,23.969999313354492,61.38999938964844
2026-06-30 13:30:00,357.2300109863281,212.64999389648438,316.8999938964844,24.0,60.9900016784668
2026-07-01 13:30:00,359.92999267578125,215.64999389648438,316.8399963378906,23.75,62.400001525878906
2026-07-02 13:30:00,371.3500061035156,221.0,326.2900085449219,24.6299991607666,64.08000183105469
2026-07-06 13:30:00,372.92999267578125,224.0800018310547,323.1099853515625,24.549999237060547,63.849998474121094
2026-07-07 13:30:00,373.2200012207031,230.22000122070312,323.69000244140625,24.489999771118164,64.41000366210938
2026-07-08 13:30:00,371.2900085449219,227.6199951171875,322.3699951171875,24.479999542236328,63.58000183105469
2026-07-09 13:30:00,371.0,230.49000549316406,311.1700134277344,24.399999618530273,63.43000030517578
2026-07-10 13:30:00,370.5799865722656,231.16000366210938,314.989990234375,24.649999618530273,63.459999084472656
2026-07-13 13:30:00,377.8900146484375,238.00999450683594,320.6600036621094,25.18000030517578,64.45999908447266
2026-07-14 13:30:00,371.8500061035156,234.0399932861328,319.9200134277344,24.729999542236328,63.47999954223633
2026-07-15 13:30:00,364.1300048828125,234.22999572753906,307.7300109863281,24.229999542236328,62.130001068115234
2026-07-16 13:30:00,373.2200012207031,239.91000366210938,315.260009765625,24.809999465942383,63.470001220703125
2026-07-17 13:30:00,382.57000732421875,241.7899932861328,323.05999755859375,24.899999618530273,64.16999816894531
2026-07-20 13:30:00,378.989990234375,240.8800048828125,321.510009765625,24.65999984741211,64.11000061035156
2026-07-21 13:30:00,377.0899963378906,238.88999938964844,321.17999267578125,24.489999771118164,63.68000030517578
2026-07-22 13:30:00,373.07000732421875,235.30999755859375,319.69000244140625,24.549999237060547,62.72999954223633
2026-07-23 13:30:00,375.55999755859375,234.27999877929688,317.4100036621094,24.75,62.77000045776367
2026-07-24 13:30:00,385.1199951171875,238.9199981689453,329.1000061035156,25.350000381469727,64.13999938964844
2026-07-27 13:30:00,389.3399963378906,239.0,328.8699951171875,25.639999389648438,64.73999786376953
2026-07-28 13:30:00,398.70001220703125,242.63999938964844,334.239990234375,26.309999465942383,66.44999694824219
2026-07-29 13:30:00,393.8900146484375,237.11000061035156,332.6099853515625,25.809999465942383,65.7300033569336
2026-07-30 13:30:00,375.3599853515625,238.05999755859375,318.3599853515625,23.65999984741211,64.41999816894531
2026-07-31 13:30:00,374.1499938964844,236.85000610351562,319.9800109863281,23.649999618530273,64.23999786376953
2026-08-03 13:30:00,372.04998779296875,236.3699951171875,321.3699951171875,23.639999389648438,64.66999816894531
2026-08-04 13:30:00,369.2099914550781,236.19000244140625,321.75,23.93000030517578,64.72000122070312
2026-08-05 13:30:00,373.2799987792969,236.3800048828125,323.5799865722656,23.610000610351562,64.87000274658203
2026-08-06 13:30:00,370.3500061035156,236.30999755859375,323.489990234375,23.639999389648438,65.1500015258789
2026-08-07 13:30:00,374.9599914550781,246.3300018310547,321.8699951171875,23.030000686645508,64.55999755859375
2026-08-10 13:30:00,369.8999938964844,242.10000610351562,318.4200134277344,22.68000030517578,63.869998931884766
2026-08-11 13:30:00,365.70001220703125,244.64999389648438,316.5199890136719,22.549999237060547,63.619998931884766
2026-08-12 13:30:00,363.6700134277344,246.0800018310547,317.45001220703125,22.899999618530273,63.5099983215332
2026-08-13 13:30:00,366.04998779296875,250.3800048828125,319.8599853515625,23.229999542236328,63.959999084472656
