Date,UNH,CI,HUM,ELV,CVS
2026-06-11 13:30:00,405.54998779296875,294.8399963378906,368.69000244140625,399.17999267578125,100.4800033569336
2026-06-12 13:30:00,408.5199890136719,298.0,379.2200012207031,404.07000732421875,101.95999908447266
2026-06-15 13:30:00,411.0400085449219,293.8299865722656,380.260009765625,401.8900146484375,100.68000030517578
2026-06-16 13:30:00,407.6499938964844,291.8800048828125,369.489990234375,397.79998779296875,100.72000122070312
2026-06-17 13:30:00,399.5299987792969,285.0899963378906,362.0,391.2699890136719,99.16000366210938
2026-06-18 13:30:00,400.9599914550781,279.2699890136719,360.6499938964844,388.5,98.31999969482422
2026-06-22 13:30:00,406.67999267578125,282.0799865722656,360.7200012207031,394.82000732421875,101.30000305175781
2026-06-23 13:30:00,409.25,283.0799865722656,359.1300048828125,395.1000061035156,101.56999969482422
2026-06-24 13:30:00,405.79998779296875,279.4599914550781,361.6400146484375,384.0,101.87000274658203
2026-06-25 13:30:00,415.5299987792969,281.8699951171875,376.0,387.32000732421875,104.66000366210938
2026-06-26 13:30:00,427.8900146484375,282.7900085449219,383.8399963378906,395.17999267578125,104.33999633789062
2026-06-29 13:30:00,419.82000732421875,278.739990234375,388.8999938964844,388.0299987792969,103.58000183105469
2026-06-30 13:30:00,415.6300048828125,275.67999267578125,397.2200012207031,386.7300109863281,103.44999694824219
2026-07-01 13:30:00,426.5400085449219,277.07000732421875,409.4200134277344,416.19000244140625,104.80999755859375
2026-07-02 13:30:00,425.3599853515625,287.7699890136719,396.75,417.8900146484375,104.72000122070312
2026-07-06 13:30:00,417.989990234375,281.9800109863281,392.8599853515625,408.1700134277344,102.08000183105469
2026-07-07 13:30:00,428.19000244140625,286.6199951171875,394.6199951171875,418.8500061035156,104.33000183105469
2026-07-08 13:30:00,425.6000061035156,289.7300109863281,396.2900085449219,416.0799865722656,104.47000122070312
2026-07-09 13:30:00,431.67999267578125,291.79998779296875,397.760009765625,420.3900146484375,102.80999755859375
2026-07-10 13:30:00,424.6199951171875,293.4599914550781,392.2200012207031,416.2300109863281,104.1500015258789
2026-07-13 13:30:00,429.0899963378906,304.5,406.0,425.1700134277344,105.9000015258789
2026-07-14 13:30:00,425.19000244140625,303.3500061035156,406.7699890136719,426.7900085449219,106.18000030517578
2026-07-15 13:30:00,418.5199890136719,297.80999755859375,407.7799987792969,390.3299865722656,105.91000366210938
2026-07-16 13:30:00,423.3800048828125,283.82000732421875,386.4800109863281,372.8500061035156,106.5
2026-07-17 13:30:00,426.0899963378906,281.45001220703125,400.0,373.1099853515625,107.47000122070312
2026-07-20 13:30:00,421.54998779296875,283.94000244140625,398.20001220703125,382.2300109863281,107.61000061035156
2026-07-21 13:30:00,436.3500061035156,290.489990234375,404.3399963378906,393.44000244140625,110.5999984741211
2026-07-22 13:30:00,431.30999755859375,284.8500061035156,397.6000061035156,389.0899963378906,108.08000183105469
2026-07-23 13:30:00,423.55999755859375,286.2900085449219,394.5,379.30999755859375,106.88999938964844
2026-07-24 13:30:00,420.739990234375,289.57000732421875,389.32000732421875,377.67999267578125,107.73999786376953
2026-07-27 13:30:00,417.6400146484375,291.0199890136719,381.1499938964844,378.3599853515625,107.06999969482422
2026-07-28 13:30:00,428.7900085449219,301.05999755859375,388.7099914550781,385.7300109863281,109.33999633789062
2026-07-29 13:30:00,420.57000732421875,296.4700012207031,365.4100036621094,375.9800109863281,105.91999816894531
2026-07-30 13:30:00,421.4700012207031,287.6600036621094,366.6600036621094,376.3999938964844,105.22000122070312
2026-07-31 13:30:00,414.3999938964844,279.04998779296875,363.8599853515625,375.8399963378906,104.43000030517578
2026-08-03 13:30:00,415.3599853515625,282.05999755859375,374.5,382.7699890136719,105.37000274658203
2026-08-04 13:30:00,407.54998779296875,274.04998779296875,362.1600036621094,378.0,104.41999816894531
2026-08-05 13:30:00,412.75,270.5,363.82000732421875,391.239990234375,99.12000274658203
2026-08-06 13:30:00,403.9700012207031,275.25,367.239990234375,391.3999938964844,96.22000122070312
2026-08-07 13:30:00,407.0799865722656,282.489990234375,385.0,394.20001220703125,95.69999694824219
2026-08-10 13:30:00,408.739990234375,278.3999938964844,385.70001220703125,397.70001220703125,95.66999816894531
2026-08-11 13:30:00,402.19000244140625,273.8699951171875,372.82000732421875,390.3699951171875,93.5
2026-08-12 13:30:00,405.5899963378906,277.4100036621094,388.8299865722656,399.1400146484375,94.72000122070312
2026-08-13 13:30:00,399.05999755859375,277.989990234375,384.9700012207031,398.2200012207031,94.98999786376953
2026-08-14 13:30:00,401.7300109863281,282.55999755859375,389.04998779296875,400.32000732421875,97.16000366210938
2026-08-17 13:30:00,395.6199951171875,275.3299865722656,384.30999755859375,390.239990234375,94.01000213623047
2026-08-18 13:30:00,393.92999267578125,278.5,382.0,398.2699890136719,94.91000366210938
2026-08-19 13:30:00,388.6099853515625,277.45001220703125,378.0199890136719,398.45001220703125,93.6500015258789
2026-08-20 13:30:00,384.8500061035156,274.4100036621094,380.7300109863281,396.2799987792969,93.6500015258789
2026-08-21 13:30:00,390.1099853515625,277.510009765625,378.8800048828125,400.5400085449219,93.0199966430664
2026-08-24 13:30:00,398.760009765625,280.45001220703125,386.6099853515625,402.6300048828125,94.11000061035156
2026-08-25 13:30:00,396.5899963378906,279.32000732421875,389.7099914550781,398.8699951171875,92.9000015258789
2026-08-26 13:30:00,401.010009765625,280.8699951171875,391.05999755859375,402.5400085449219,94.31999969482422
2026-08-27 13:30:00,395.04998779296875,277.6700134277344,392.6300048828125,399.1099853515625,92.91999816894531
2026-08-28 13:30:00,392.95001220703125,278.8800048828125,385.5400085449219,394.42999267578125,93.05999755859375
2026-08-31 13:30:00,389.4100036621094,276.0799865722656,383.2300109863281,392.5400085449219,93.91000366210938
2026-09-01 13:30:00,396.29998779296875,283.05999755859375,394.8800048828125,403.0400085449219,97.5999984741211
2026-09-02 13:30:00,399.6600036621094,282.8399963378906,400.9700012207031,405.8399963378906,97.2300033569336
2026-09-03 13:30:00,400.94000244140625,286.260009765625,406.5199890136719,414.7799987792969,97.19999694824219
2026-09-04 13:30:00,397.1400146484375,282.5199890136719,401.5400085449219,407.5,96.73999786376953
2026-09-08 13:30:00,400.8399963378906,275.8299865722656,403.0899963378906,401.94000244140625,96.06999969482422
2026-09-09 13:30:00,393.05999755859375,278.1700134277344,400.0199890136719,396.8999938964844,95.37999725341797
2026-09-10 13:30:00,388.2799987792969,280.9100036621094,400.7300109863281,416.5400085449219,95.29000091552734
2026-09-11 13:30:00,379.0899963378906,280.760009765625,409.79998779296875,418.7200012207031,94.66000366210938
2026-09-14 13:30:00,383.81500244140625,288.61199951171875,414.18499755859375,423.5950012207031,95.62999725341797
